"Year","Locationabbr","Locationdesc","Class","Topic","Question","Response","Break_Out","Break_Out_Category","Sample_Size","Data_value","Confidence_limit_Low","Confidence_limit_High","Display_order","Data_value_unit","Data_value_type","Data_Value_Footnote_Symbol","Data_Value_Footnote","DataSource","ClassId","TopicId","LocationID","BreakoutID","BreakOutCategoryID","QuestionID","ResponseID","GeoLocation"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","2,272","17.0","16.0","17.9","1","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","BO1","CAT1","ADDEPEV3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","Overall","Overall","9,586","83.0","82.1","84.0","2","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","BO1","CAT1","ADDEPEV3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Male","Sex","922","13.2","12.0","14.3","3","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","SEX1","CAT2","ADDEPEV3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","Male","Sex","5,136","86.8","85.7","88.0","4","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","SEX1","CAT2","ADDEPEV3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Female","Sex","1,350","20.6","19.1","22.1","5","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","SEX2","CAT2","ADDEPEV3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","Female","Sex","4,450","79.4","77.9","80.9","6","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","SEX2","CAT2","ADDEPEV3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","18-24","Age Group","200","20.2","17.0","23.5","7","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","AGE01","CAT3","ADDEPEV3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","18-24","Age Group","786","79.8","76.5","83.0","8","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","AGE01","CAT3","ADDEPEV3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","25-34","Age Group","379","20.7","18.2","23.2","9","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","AGE02","CAT3","ADDEPEV3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","25-34","Age Group","1,247","79.3","76.8","81.9","10","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","AGE02","CAT3","ADDEPEV3","RESP054","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","35-44","Age Group","303","15.1","13.0","17.2","11","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","AGE03","CAT3","ADDEPEV3","RESP046","    (37.63864012300047, -120.99999953799971)"
"2023","CA","California","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","35-44","Age Group","1,336","84.9","82.8","87.0","12","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","06","AGE03","CAT3","ADDEPEV3","RESP054","    (37.63864012300047, -120.99999953799971)"
